SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year
20,SOZVMJI12AB01808AF,541101,Whatever Happened To Boredom?,ARNPAGP1241B9C7FD4,,,,lextrical,0.0,165.69423999999998,7,0.011000000000000001,138.33100000000002,4,0.127,Synthetic Dream,
21,SOWTBJW12AC468AC6E,605134,1942-1952 Jimmy Wakely,ARQGYP71187FB44566,34.31109,Mineola AR,-94.02978,Jimmy Wakely,0.0,151.84933999999998,1,0.799,86.186,3,0.929,Broken-Down Merry-Go-Round,
22,SOBEBDG12A58A76D60,239740,All The Good Times,ARI3BMM1187FB4255E,38.8991,Washington,-77.029,Alice Stuart,0.0,220.78649,11,0.809,110.382,1,0.192,Kassie Jones,
23,SOZCTXZ12AB0182364,386995,Un cafe_ setanta matins,AR5KOSW1187FB35FF4,49.80388,Dubai UAE,15.474910000000001,Elena,0.0,269.58322000000004,2,0.596,111.874,4,1.0,Setanta matins,
24,SOBBUGU12A8C13E95D,223365,Miss Machine,ARMAC4T1187FB3FA4C,40.826240000000006,Morris Plains NJ,-74.47995,The Dillinger Escape Plan,0.0,207.77751,7,0.381,166.862,4,0.0,Setting Fire to Sleeping Giants,2004.0
25,SOBLGCN12AB0183212,652784,Sue Thompson - Her Very Best,AR47JEX1187B995D81,37.83721,Nevada MO,-94.35868,SUE THOMPSON,0.0,124.86485,10,0.6970000000000001,137.52200000000002,4,0.0,James (Hold The Ladder Steady),1985.0
26,SOPSWQW12A6D4F8781,45730,Live,ARGIWFO1187B9B55B7,,,,Five Bolt Main,0.0,225.09669,7,0.53,164.672,1,0.0,Made Like This (Live),
27,SOZQDIU12A58A7BCF6,672016,Strictly Confidential,ARNTLGG11E2835DDB9,,,,Clp,0.0,338.31138,6,0.687,125.006,4,1.0,Superconfidential,
28,SONYPOM12A8C13B2D7,160881,The Real Twang Thang,ARDNS031187B9924F0,32.67828,Georgia,-83.22295,Tim Wilson,0.0,186.48771000000002,5,0.762,90.022,1,0.971,I Think My Wife Is Running Around On Me (Taco Hell),2005.0
29,SOBZBAZ12A6D4F8742,59744,Willie Bobo's Finest Hour,AROUOZZ1187B9ABE51,40.79195,New York NY [Spanish Harlem],-73.94511999999999,Willie Bobo,0.0,168.25423999999998,8,0.812,127.025,4,0.792,Spanish Grease,1997.0
30,SOVYKGO12AB0187199,373723,Shake A Hand,ARH4Z031187B9A71F2,40.731970000000004,Newark NJ,-74.17418,Faye Adams,0.0,156.39465,8,0.569,95.95700000000001,3,0.6890000000000001,Crazy Mixed Up World,1961.0
31,SOGNCJP12A58A80271,228326,Occasional Rain,ARB29H41187B98F0EF,41.88415,Chicago,-87.63241,Terry Callier,0.0,342.56934,6,0.381,110.189,3,0.353,Do You Finally Need A Friend,1972.0
32,SOLLHMX12AB01846DC,463514,The Emperor Falls,AR1Y2PT1187FB5B9CE,27.940170000000002,Brandon,-82.32547,John Wesley,0.0,484.62322,4,0.28300000000000003,138.007,4,0.893,The Emperor Falls,
33,SOYTPEP12AB0180E7B,643400,Best of The Shangri-Las,ARAJPHH1187FB5566A,40.7038,Queens NY,-73.83168,The Shangri-Las,0.0,164.80608,10,0.254,130.1,1,0.0,Twist and Shout,1964.0
34,SOGXHEG12AB018653E,663761,20 Of Her Best,AR0RCMP1187FB3F427,30.08615,Beaumont TX,-94.10158,Billie Jo Spears,0.0,133.32853,4,0.384,160.839,1,0.0,It Makes No Difference Now,1992.0
35,SOOLYAZ12A6701F4A6,12882,Who Is Mike Jones?,AREBBGV1187FB523D2,,Houston TX,,Mike Jones (Featuring CJ_ Mello & Lil' Bran),0.0,173.66159,7,0.299,41.993,1,0.0,Laws Patrolling (Album Version),
36,SOGOSOV12AF72A285E,270281,Tibiri Tabara,ARGUVEV1187B98BA17,,,,Sierra Maestra,0.0,313.12934,9,0.7240000000000001,189.646,3,0.674,\xc2\xbfD\xc3\xb3nde va Chichi?,1997.0
37,SOJXVAH12A8C139700,244586,Piouhgd + Widowermaker!,ARPQ4Z01187FB3A736,29.424490000000002,San Antonio TX,-98.49462,Butthole Surfers,0.0,450.84689000000003,4,0.726,130.586,4,0.42,"Barking Dogs (From Piouhgd"")",
38,SOVXMTN12A8C135A18,157648,Profities,ARNQAVF11F4C844C04,,,,Despina Vandi,0.0,303.09832,8,0.532,128.292,4,0.83,OUTE ENA EFHARISTO,
39,SORSECL12AB0182267,644631,Cracks,ARXUT4W1187FB48BEB,,,,Javier Navarrete,0.0,128.83546,3,0.0,90.932,3,1.0,Midnight Swim,
40,SOOGFBZ12AC3DF7FF2,730551,Pieces Of Time,ARDD1RC1187B9B52B4,,,,Jacob Young,0.0,456.30649000000005,1,0.611,89.667,4,0.747,In A Subtle Way,
41,SOMSBGZ12AB018C4CB,709879,The Palest Grey,ARLGWFM1187FB4AC9F,34.053490000000004,California - LA,-118.24531999999999,Scarlet's Remains,0.0,198.73914,7,0.6729999999999999,115.061,4,0.731,Spin,2007.0
42,SONYRZV12AB018AF70,706005,A Match & Some Gasoline,ARWYVP51187B98C516,42.33168,Detroit MI,-83.04791999999999,The Suicide Machines,0.0,95.68608,2,0.42100000000000004,115.887,4,0.7440000000000001,Burning In The Aftermath,2003.0
43,SONQBUB12A6D4F8ED0,42595,Jump Back - The Best Of The Rolling Stones_ '71-'93,ARFCUN31187B9AD578,51.50632,London England,-0.12714,The Rolling Stones,0.0,271.49016,9,0.301,139.333,1,0.0,Angie (1993 Digital Remaster),
44,SOHGKJW12AC468A8BD,782470,Lo Mejor con La Orq. Broadway,AR6YDKV1187B989230,,,,Roberto Torres,0.0,226.66404,0,0.863,117.271,4,0.45299999999999996,Sabor Guajiro,
45,SOINBCU12A6D4F94C0,28723,Grown Man,ARV1JVD1187B9AD195,35.914629999999995,Chapel Hill NC,-79.05660999999999,Loudon Wainwright III,0.0,190.48443999999998,3,0.544,102.428,4,0.496,Human Cannonball,1995.0
46,SOTWVQT12A58A79650,557761,A Bothered Mind,AR7TTS41187B9B42D3,34.36401,Oxford MS,-89.51876999999999,R.L. Burnside,0.0,277.78567000000004,2,0.0,89.984,4,0.0,Glory Be,2004.0
47,SOTSEJY12AB0180F56,417945,Greatest Hits,ART3O5Z1187B9AB043,32.77815,Dallas TX,-96.7954,Stevie Ray Vaughan,0.0,248.78975,1,0.754,116.721,4,0.522,Crossfire,1992.0
48,SOTSETT12AB01863B8,575531,Bluesman,AR5U94U1187FB5CDCF,,,,John Hammond,0.0,195.3171,7,0.98,123.14200000000001,4,0.6779999999999999,I Can't Be Satisfied,2002.0
49,SOTUNMH12A6D4FA3E6,234425,Etiquette,ARRJNTE1187FB44E12,,,,Casiotone For The Painfully Alone,0.0,175.72526000000002,0,0.522,141.91899999999998,4,0.445,Nashville Parthenon,2006.0
50,SOEPPKB12AB018418B,505301,Ec8or,AR6IRG41187B9A4D98,52.51606999999999,Berlin Germany,13.37698,Ec8or,0.0,217.23382999999998,10,0.005,95.596,4,1.0,Cocain Ducks,1995.0
51,SOGKIWV12A6D4F86C4,74655,Too Much Too Soon,ARS1OWB1187B99EEAD,,New York NY,,The New York Dolls,0.0,344.05832000000004,11,0.425,154.953,1,0.0,Human Being,1974.0
52,SOPHYIS12AAF3B35A3,322532,Bossa Nova Stories,ARGMXQW1187FB54C34,-23.56287,Sao Paulo Brazil,-46.65466,Eliane Elias,0.0,251.42812,7,0.391,86.09100000000001,5,0.551,The More I See You,2009.0
53,SOFHBAR12A6701D0FE,14592,Love_ Peace & Nappiness,AROEL1B1187B988B90,,South Jamaica Queens,,Lost Boyz,0.0,269.7922,7,0.715,90.21799999999999,4,1.0,Certain Things We Do,1997.0
54,SOCPRKM12AB018A2FD,515081,Germicide,AR8W8DN1187FB35ED0,34.053490000000004,Los Angeles CA,-118.24531999999999,The Germs,0.0,206.05342,11,0.6409999999999999,133.144,1,0.0,Forming,1977.0
55,SOFGHAM12AB0186412,765750,Mafu\xc3\xa1,ARUWLCL1187FB549B8,,,,Yamandu Costa,0.0,190.04036000000002,2,0.105,205.317,4,0.0,Mafu\xc3\xa1,
56,SODHVES12A6701CE6B,17220,The Road To Hell Part 2,AR3793X1187FB50CB3,,Middlesbrough England,,Chris Rea,0.0,241.162,9,0.222,180.149,4,0.0,Driving Home For Christmas,1986.0
57,SOXIATP12AAF3B2184,617077,Vanguard Visionaries,ARINEWW1187FB5577E,,,,Perrey And Kingsley,0.0,122.64443999999999,0,0.61,102.538,4,0.8690000000000001,Spooks In Space,1966.0
58,SOGNQWU12A8AE4868F,278999,Be Yourself Tonight,ARDGB6U1187FB3AD07,51.50632,London England,-0.12714,Eurythmics,0.0,207.0722,0,0.442,84.164,4,0.853,Tous Les Gar\xc3\xa7ons Et Les Filles,1985.0
59,SOYQOFI12A6D4F76E1,19601,Hometown 2001,AR2J2WF1187FB46271,54.48303000000001,Egremont Cumbria England,-3.53444,Francis Dunnery,0.0,300.79955,7,0.6659999999999999,124.175,4,0.698,Too Much Saturn,1995.0
60,SOVOLGY12A6D4F822B,38599,Eat / Kiss: Music For The Films By Andy Warhol,ARUI8651187B9ACF52,,Garnant Wales,,John Cale,0.0,228.46649,7,0.45799999999999996,137.004,1,0.0,Movement 4 [from Kiss] (Album Version),1997.0
61,SOMZCVH12AB0182B8E,619882,The Ultimate Most Relaxing New Age Piano in the Universe,AR89DTT1187B9A7ED5,37.77916,California - SF,-122.42005,Suzanne Ciani,0.0,239.59465,7,0.527,106.33,4,0.526,Stream,
62,SONXJBL12AAF3B2C0C,618615,Classic Gold: Best of All,ARMD0G81187B99A519,,,,Vickie Winans,0.0,228.93669,11,0.172,107.961,4,1.0,Make Me Over,
63,SOYWZTU12AB0180E26,681639,The Berzerker,AR0VZWC1187B99BA57,-37.81753,Melbourne Australia,144.96715,The Berzerker,0.0,165.61587,1,0.10800000000000001,174.287,3,0.132,Deform (live),2000.0
64,SOLGHDZ12AB0183B11,449471,Holy Roller Novocaine,ARF2EHS1187B994F4E,36.16778,Nashville Tennessee,-86.77835999999999,Kings Of Leon,0.0,187.92444,0,0.612,116.823,4,0.34700000000000003,Wicker Chair,2003.0
65,SOTNTNJ12AAA15FBD6,321356,Jeux de dames_ vol. 1 (r\xc3\xa9alisation Ronald Rubinel),ARZKRD01187FB45FD2,,,,Edith Lefel,0.0,276.50567,0,0.29,101.97200000000001,4,1.0,An ti chans',
66,SOXZXXV12AAF3B3A67,530141,I Will Love Again,ARK4H5K1187B992F74,,,,Taras,0.0,200.25423999999998,11,0.055999999999999994,127.97,4,0.0,I Will Love Again (JJ's Club Radio),
67,SOPIKEG12A58291636,104765,White Trash ......,AR06EB01187FB40150,,Berkeley CA,,NOFX,0.0,144.50893,4,0.09300000000000001,152.622,4,0.358,Stickin In My Eye,1992.0
68,SOIRNBO12AC468D207,695158,Murskapunkkia,ARKPDBH1242077DEB1,,,,Murskahumppa,0.0,285.17832000000004,7,0.379,110.787,3,1.0,Ota kiinni,
69,SOSBDSF12AB0189007,509770,Canci\xc3\xb3n Animal,ARBJSO81187B9BA09B,,,,Soda Stereo,0.0,246.69995,7,0.161,112.90299999999999,4,1.0,Entre Can\xc3\xadbales,1990.0
70,SOIJXXM12A8C1416D6,223779,The Man from Snowy River,ARRC2JF1187B9B6A93,-24.9162,AUSTRALIA,133.39311,Bruce Rowland,0.0,84.03546,7,0.469,115.64200000000001,4,0.44,Rosemary Recalls,1985.0
71,SOHMMMC12AB0181C42,466577,One World One People,ARNIFX51187FB418EA,,,,Xcultures,0.0,273.52771,1,0.652,125.01299999999999,4,1.0,Sudanese Dance,2000.0
72,SOVJXVJ12A8C13517D,148547,Tales Of Wonder,ARCCRTI11F4C845308,,,,White Heart,0.0,298.84036000000003,5,0.596,113.277,4,0.872,Where The Thunder Roars (Tales Of Wonder Album Version),
73,SOFZCTA12AB0188D8F,423012,Waterbed Hev,ARNVH8S1187FB52F86,18.11526,Jamaica West Indies,-77.27348,Heavy D / McGruff,0.0,161.38404,5,0.665,96.979,4,0.895,Wanna Be A Player,1997.0
74,SOLRYQR12A670215BF,7133,The Best Of Both Worlds,ARNLO5S1187B9B80CC,,Pasadena CA,,Van Halen,0.0,209.29261,8,0.455,140.995,1,0.41,Panama (Remastered Album Version),
75,SOCHRXB12A8AE48069,358442,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,ARTDQRC1187FB4EFD4,,Los Angeles CA,,Black Eyed Peas,0.0,229.61587000000003,11,0.205,105.206,4,1.0,Let's Get It Started,2004.0
76,SOKBBXO12A6701DEA0,15567,Things Falling Apart,ARK9TRQ1187B99C095,41.504709999999996,Cleveland OH,-81.69074,Nine Inch Nails,0.0,426.89261,0,0.05,63.016999999999996,4,0.37799999999999995,Metal,2000.0
77,SOWHYUG12A58A77FAB,413222,Your Funeral... My Trial (2009 Digital Remaster),ARODBRG1187FB3FD99,,,,Nick Cave & The Bad Seeds,0.0,269.26975,9,0.052000000000000005,144.60299999999998,4,0.0,She Fell Away (2009 Digital Remaster),
78,SOYSTDI12A6D4F6500,80578,Oasis of Love,ARMBYRO1187FB57419,,,,Nadine Renee,0.0,249.41669,2,0.883,167.92,4,0.75,Next Time,
79,SOOOROX12A6D4F8400,26902,60's Triple set,ARWY7I71187FB36C3D,40.71455,New York NY,-74.00712,Lesley Gore,0.0,136.48934,9,0.386,129.122,1,0.0,It's My Party,1963.0
80,SONSPZE12AB01819CE,633532,Yeah.  Well_ Anyway....,AR6Y22S1187B99906F,,,,Smartbomb,0.0,233.27302000000003,0,0.53,132.02200000000002,4,0.782,Complicate It,2001.0
81,SOHWGFU12AB017B036,435830,Un Titre de Toune,ARI5P4N1187FB3F44D,,Minnesota,,Suburbs,0.0,187.24526,1,0.8420000000000001,183.92,1,0.063,Monde De Fou,2005.0
82,SOQQVQJ12AB0185192,495734,Live Inferno,ARYPWUK1187B98ACED,64.55653000000001,Norway,12.66538,Emperor,0.0,72.61995,9,0.0,89.867,4,0.47600000000000003,Opus a Satana (Part 2),
83,SODRHHD12AB0189F2A,664484,Vendredi 13 - 1981,ARW63KF1187B98AC48,46.71067,FR,1.71819,Julien Clerc,0.0,272.63955,2,0.633,119.896,5,0.9209999999999999,This Melody (Live),
84,SOQGFVO12A8C13C8C3,112851,Unconditional Love,AR8H87D1187FB3A841,34.031420000000004,Delight AR,-93.50243,Glen Campbell,0.0,142.75873,1,0.62,137.29,4,0.0,I'm Gone This Time,
85,SORABMD12A8C136672,200689,The Very Best Of,ARLWR721187B9A03C9,35.82213,Humboldt TN,-88.91599000000001,T.G. Sheppard,0.0,194.11546,5,1.0,82.34299999999999,1,0.387,You Feel Good All Over,2002.0
86,SOTUBVH12AB018D2EC,682725,Country Lovers. Vol. 3,ARF4V431187FB3AA41,27.94653,Tampa FL,-82.45926999999999,Slim Whitman,0.0,195.91791,3,0.883,91.48700000000001,4,0.0,Indian Love Call,1990.0
87,SOMQAGT12A8C132DB4,287804,Affirmation,ARBGWMW1187B9AEA3E,,CA,,Savage Garden,0.0,118.33424,9,0.0,84.69,5,0.6779999999999999,You Can Still Be Free,1999.0
88,SOKLLOH12A67020F2C,220917,Lullabies To Paralyze,AR6G4V01187B9AD086,,,,Queens Of The Stone Age,0.0,288.41751,2,0.08,115.60600000000001,4,0.0,I Never Came,2005.0
89,SONRLQH12AB017C232,629785,It's War Again,ARVQ4QM1187B98AD95,33.52029,Birmingham AL,-86.8115,Hank Penny & The Lincoln Penny Orchestra,0.0,123.21914,7,0.278,126.523,1,0.0,Dixie,
90,SODDZAD12A6701DC4C,11305,The Singles,AR9AM2N1187B9AD2F1,53.4796,Manchester England,-2.2488099999999998,Inspiral Carpets,0.0,283.76771,2,0.823,113.677,4,1.0,Commercial Reign,1990.0
91,SORENXV12A6701F61F,4967,What You Thought You Heard,AR9XEVF1187B99D017,,,,Borialis,0.0,239.3073,2,0.569,86.93799999999999,4,0.222,Hourglass,
92,SOYMMDY12AB01825B2,325335,Daddy Don't Disco,ARCFOZ71187FB43A0D,,,,The Dirty Skirts,0.0,206.75873,0,0.613,141.936,4,0.634,Wake,
93,SOJWQIP12A6D4F710A,82932,15 Exitos Vol. 2 Flor Silvestre,ARHFEBO11F50C4825A,,,,Flor Silvestre,0.0,134.81751,11,0.847,106.04899999999999,1,0.0,Caricia Y Herida,
94,SOOVOKS12AB017EE57,401583,Le top du p\xc3\xa8re N\xc3\xb6el,AR107SB1187B9A79F9,,B\xc3\xa9zu comme Superdupont ne connait qu&#039;un pays : la France !,,B\xc3\xa9zu,0.0,285.64853,8,0.508,126.88,4,0.0,Le tortillard,
95,SORWHWY12A6702038E,8552,Malpractice,ARXWAQQ1187B9AE954,,Newark NJ,,Redman,0.0,124.18567,1,0.07400000000000001,85.008,5,1.0,WKYA (drop),2001.0
96,SOGYYLE12A8C13E5EA,217058,20 Suosikkia / Rilluttele y\xc3\xb6,ARL6XZC1187FB3936E,,,,Solistiyhtye Suomi,0.0,134.08608,4,0.718,133.69899999999998,1,0.0,Ter\xc3\xa4slintu,
97,SOITUXQ12AB0183AE9,489673,The Fabulous Eddie Cantor,ARSDSMG1187B98CB59,40.71455,New York NY,-74.00712,Eddie Cantor,0.0,155.61098,11,0.599,118.975,1,0.003,Now's The Time To Fall In Love,
98,SOTWEZZ12A8C142B60,475992,Grim Prospects Remixes - Grim Prospects Will Never End,AR3WMW01187B9921F7,,,,Schizoid,0.0,275.40853,9,0.376,102.40799999999999,4,0.395,Grim Prospects (Gross Prospects - Bad Trip Remix),
99,SOUVRGZ12A58A77F90,495041,The Incredible Kai Winding Trombones,AR3C3C01187B98E800,56.153,Aarhus Denmark,10.20452,Kai Winding,0.0,223.4771,0,0.0,112.006,4,0.8440000000000001,Mangos,1961.0
100,SOBLTSM12A6D4F9EEA,225610,Staying on the Watch,ARDD9UN1187B98D3A7,31.846659999999996,Sicily Island LA,-91.65700000000001,Sonny Simmons,0.0,443.24526,1,0.0,45.527,4,0.0,A Distant Voice,
101,SOUQVUD12A8C142DCE,473710,Openbare Weg,ARJGNV61187B98F3B5,,Tallahassee FL,,Mira,0.0,177.81506000000002,4,0.695,85.62100000000001,4,0.612,Openbare Weg,2006.0
102,SOCRPDR12AB0185B75,710902,Tip World Singles 2000,ARSVI4L1187B996181,,,,Citizen Kaned,0.0,385.33179,8,0.8220000000000001,108.061,4,1.0,President Johnson,2000.0
103,SOXVBVL12AF72A600C,341940,Praise Him...Live!,ARVJ0JK1187B98C9C0,,,,The Brooklyn Tabernacle Choir,0.0,324.44036,7,0.5579999999999999,216.195,5,1.0,Lead Me Lord,1995.0
104,SOIQHDR12AB01896C8,766444,Spontanous Combustion,AR4PCIG1187B98D07D,36.16778,Nashville TN,-86.77835999999999,Ellen McIlwaine,0.0,275.12118,7,0.6990000000000001,132.428,4,0.281,Spontanous Combustion,
105,SODLSHA12AAF3B29F2,432406,From All Sides,AR1RHCO1187B9AF0BF,37.77916,San Francisco CA,-122.42005,Vince Guaraldi / Bola Sete,0.0,294.66077,5,0.23800000000000002,168.30700000000002,4,0.0,Choro,
106,SOAGHMH12AB0180285,546663,Maurice Chevalier  The Essential Collection Vol 1,AR1X2H01187B98CCF2,,Menilmontant France,,Maurice Chevalier,0.0,193.20118,0,0.371,140.95600000000002,7,0.866,Ma Louise,
107,SORAVUP12AB018556E,548374,Dave Pearce Best of the Dance Years 1988 - 1992,ARBQBZV1187B99D29E,,,,Carl Cox Vs Yousef,0.0,357.82485,1,0.485,130.016,5,1.0,I Want You (Forever),1991.0
108,SOFXNQP12AB0184F1A,704183,The Equinox,AR9ODB41187FB459B2,,SPRINGFIELD Virginia,,Organized Konfusion,0.0,198.3473,11,0.306,175.769,4,0.7,Hate,1997.0
109,SOGQTRZ12A8C13C8B0,307618,Timeless,ARF3GX71187FB3EB66,,Medicine Lodge KS,,Martina McBride,0.0,261.95546,7,0.96,100.194,3,1.0,I Can't Stop Loving You,2005.0
110,SOBHVZQ12AC9618285,784530,Feel Good All Over: Anthology 1970-1976,AR3PN3R1187FB4CEBD,18.015710000000002,Kingston Jamaica,-76.79731,Horace Andy,0.0,176.27383,2,0.171,151.911,4,0.231,Thank You Lord,1985.0
111,SOYPBCY12AB0181EF3,534470,13th And Pine,ARYWCFZ11E2835CFDD,,,,Nazz,0.0,220.89097999999998,9,0.606,119.691,4,0.491,How Can You Call That Beautiful (Stewkey Vocal),
112,SOWRLSY12AC4687694,599659,Call Tyrone,ARUT16P1187FB532A4,33.39847,Greenville MS,-91.03786,Tyrone Davis,0.0,235.91137999999998,10,0.46,161.976,4,0.696,Cheatin' In The Next Room,
113,SOOGQWR12A8C142505,372122,Final Vinyl,AREOGMA1187B9908EF,37.77916,San Francisco CA,-122.42005,Hot Tuna,0.0,239.59465,0,0.601,172.398,1,0.0,Candy Man,1971.0
114,SOJDYQY12AB0188C97,577023,Fifteen Poems By Dylan Thomas,AR4ABL21187FB3913A,40.99471,Pennsylvania,-77.60454,Richard Burton,0.0,171.49342,2,0.45,109.823,3,0.659,I See The Boys Of Summer,
115,SOBHQUF12AB018B03E,572855,The Early Tapes 1975-1976,AR8YV1I1187FB45D2B,40.71455,New York NY,-74.00712,Rory Block,0.0,266.05669,1,0.9359999999999999,90.101,1,0.0,Three Is a Crowd,
116,SOFRAZJ12A8C143CDB,523481,Legacy,ARR9XGB1187B9912E6,,Philadelphia PA,,Boyz II Men,0.0,329.27302000000003,8,0.49700000000000005,116.473,4,1.0,On Bended Knee,1994.0
117,SONNDHT12A8C13F20B,219943,Louie Bluie Film Soundtrack,ARBKUS51187B98A3AC,35.4948,Dayton TN,-85.01235,Howard Armstrong,0.0,198.922,9,0.0,126.821,4,0.0,My Four Reasons,
118,SOYZOXW12A8C13E195,266932,Donny Hathaway,ARTB5PP1187FB523B7,41.88415,Chicago IL,-87.63241,Donny Hathaway,0.0,283.21914,2,0.499,111.191,3,0.851,Little Girl (LP Version),1971.0
119,SOSGJTX12AB0181F7C,514801,Canciones De Amor De Miguel Gallardo,ARXFQDY1187B9AAF1E,,,,Miguel Gallardo,0.0,238.68036,5,0.45799999999999996,125.508,4,0.462,Eternamente Amame,
120,SOBQBWP12AB018611B,421962,Irfan_ le h\xc3\xa9ros,ARVEJ9M1187FB4DC44,,,,Les Ogres De Barback,0.0,254.06649,4,0.446,137.888,1,0.0,Niev nietch nievitch,1999.0
121,SODULLV12AB017FA09,502384,What up Detroit,ARTHEAP122BCFCD0B2,,,,DJ X-Change featuring DJ Joey A,0.0,184.31955,6,0.0,150.012,4,0.0,Come Over,
122,SOYAGJM12A8C13DCCE,254792,Peterbilt Angel,ARQESNI1187FB511EE,38.8991,Washington DC,-77.029,Morel,0.0,311.40526,10,0.685,108.367,4,0.36,Blue Taxi,
123,SORXUZZ12A8AE4798A,138320,Homemade Ice-Cream,ARCZ20M1187FB49687,32.77942,Goodwill LA,-91.56123000000001,Tony Joe White,0.0,162.53342,2,0.243,173.482,4,0.804,I Want Love (Tween You & Me) (Album Version),
124,SOCHXAE12AF72A25D6,722546,White Feather,ARDF8K01187FB37200,,Sydney Australia,,Wolfmother,0.0,212.37506000000002,4,0.37200000000000005,110.745,4,1.0,White Feather,2009.0
125,SOCRHCQ12A58A7C8C6,46647,Can We Go Home Now,AR11NP91187B9901B4,,New York City,,The Roches,0.0,338.33751,2,0.626,130.02700000000002,4,0.509,Christlike Roche,1995.0
126,SOSEJIQ12AB017E7EB,547104,In North Carolina,ARBZAIL1187FB5B1C8,42.31256,Boston MA,-71.08868000000001,Bob Margolin,0.0,126.51057,11,0.228,110.16799999999999,4,0.92,You Rascal You,
